Chloroplast ,
AT1G42970,glyceraldehyde-3-phosphate dehydrogenase B subunit
AT2G04400,Aldolase-type TIM barrel family protein
AT2G28605,Photosystem II reaction center PsbP family protein
AT2G37500,arginine biosynthesis protein ArgJ family
AT2G39020,Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT3G07670,Rubisco methyltransferase family protein
AT4G02510,translocon at the outer envelope membrane of chloroplasts 159
AT4G05180,photosystem II subunit Q-2
AT4G23100,glutamate-cysteine ligase
AT4G24930,"thylakoid lumenal 17.9 kDa protein, chloroplast"
AT4G28706,pfkB-like carbohydrate kinase family protein
AT4G31990,aspartate aminotransferase 5
AT5G03650,starch branching enzyme 2.2
AT5G36170,high chlorophyll fluorescent 109
AT5G40950,ribosomal protein large subunit 27
AT5G63890,histidinol dehydrogenase
AT1G65290,mitochondrial acyl carrier protein 2
AT4G09620,Mitochondrial transcription termination factor family protein
AT5G09590,mitochondrial HSO70 2
