ATG_Peak,Knowns
AT1G22300,14-3-3
AT1G78300,14-3-3
AT2G42590_1,14-3-3
AT3G02520,14-3-3
AT4G09000_1,14-3-3
AT5G10450_1,14-3-3
AT5G16050,14-3-3
AT5G38480,14-3-3
AT5G65430_1,14-3-3
AT1G13060,20S proteasome
AT1G16470,20S proteasome
AT1G53850,20S proteasome
AT1G56450,20S proteasome
AT1G79210,20S proteasome
AT2G05840,20S proteasome
AT2G27020,20S proteasome
AT3G14290,20S proteasome
AT3G22110,20S proteasome
AT3G51260,20S proteasome
AT3G60820,20S proteasome
AT4G31300,20S proteasome
AT5G35590,20S proteasome
AT5G66140,20S proteasome
AT1G29150,26S Proteasome
AT1G64520,26S Proteasome
AT3G05530_2,26S Proteasome
AT4G38630,26S Proteasome
AT5G09900,26S Proteasome
AT5G23540,26S Proteasome
AT5G58290,26S Proteasome
AT1G01100,60S
AT1G18540_3,60S
AT1G67430_1,60S
AT1G74060,60S
AT2G01250,60S
AT2G44120,60S
AT3G09200,60S
AT3G11830_2,CCT
AT3G18190_1,CCT
AT5G20890,CCT
AT3G08530,Clathrin
AT3G51890_2,Clathrin
AT3G51890_1,Clathrin
AT1G30630,Coatomer
AT1G52360,Coatomer
AT1G62020,Coatomer
AT2G21390,Coatomer
AT4G31490,Coatomer
AT4G34450,Coatomer
AT5G05010_2,Coatomer
AT1G10840_2,EIF
AT2G46280,EIF
AT3G11400_2,EIF
AT3G56150,EIF
AT3G57290_2,EIF
AT4G11420,EIF
AT5G27640_3,EIF
AT5G44320_2,EIF
